dayduration,germination_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8h,87.86073738,92.46966677,95.81562704,98.47232817,100.6954801,102.621638,104.3324578,105.8807497,107.3027111,108.6242994,109.8648224,111.0390877,112.1587561,113.2332288,114.2702506,115.2763324,116.2570562,117.2173015,118.1614175,119.0933585,120.0167936,120.9351995,121.851941,122.7703469,123.693782,124.625723,125.569839,126.5300843,127.5108081,128.5168899,129.5539117,130.6283844,131.7480528,132.9223181,134.1628411,135.4844294,136.9063908,138.4546827,140.1655025,142.0916604,144.3148123,146.9715135,150.3174737,154.9264031
10h,74.73310977,80.52189287,84.72439558,88.06119362,90.85345686,93.27269777,95.4214755,97.36611928,99.1520928,100.8119985,102.3700867,103.8449557,105.2512514,106.6007816,107.9032737,109.1669054,110.3986876,111.604749,112.7905521,113.9610635,115.1208916,116.2744029,117.4258239,118.5793352,119.7391633,120.9096747,122.0954778,123.3015392,124.5333214,125.7969531,127.0994452,128.4489755,129.8552711,131.3301401,132.8882283,134.548134,136.3341075,138.2787513,140.4275291,142.84677,145.6390332,148.9758312,153.178334,158.967117
12h,67.20460906,72.74674251,76.77018413,79.96480721,82.63809713,84.95425853,87.0114807,88.87326671,90.5831431,92.17232323,93.66402407,95.07605155,96.42242749,97.71445667,98.96145195,100.1712425,101.3505408,102.505214,103.6404922,104.7611302,105.8715401,106.9759024,108.0782634,109.1826256,110.2930356,111.4136735,112.5489517,113.703625,114.8829232,116.0927138,117.339709,118.6317382,119.9781142,121.3901417,122.8818425,124.4710226,126.180899,128.042685,130.0999072,132.4160686,135.0893585,138.2839816,142.3074232,147.8495567
14h,71.56428537,78.02491082,82.71515323,86.43921786,89.55554933,92.25556575,94.65372921,96.82406707,98.8173195,100.6698728,102.4087917,104.054833,105.6243424,107.1304982,108.5841567,109.9944447,111.3691867,112.7152228,114.0386494,115.3450096,116.6394466,117.9268337,119.2118878,120.4992749,121.7937119,123.100072,124.4234986,125.7695347,127.1442768,128.5545647,130.0082232,131.5143791,133.0838885,134.7299298,136.4688487,138.321402,140.3146544,142.4849923,144.8831557,147.5831721,150.6995036,154.4235682,159.1138107,165.5744361
15h,85.52391111,89.86448096,93.01561933,95.51763138,97.61133802,99.42534348,101.0365491,102.4946901,103.8338564,105.0784939,106.2467862,107.3526787,108.4071533,109.4190638,110.3957039,111.3432056,112.2668257,113.1711598,114.0603037,114.9379815,115.8076487,116.6725794,117.5359428,118.4008735,119.2705408,120.1482186,121.0373624,121.9416965,122.8653167,123.8128183,124.7894585,125.801369,126.8558435,127.9617361,129.1300283,130.3746659,131.7138321,133.1719731,134.7831788,136.5971842,138.6908909,141.1929029,144.3440413,148.6846111
16h,71.30068568,76.73281407,80.67639493,83.80760837,86.42783652,88.69802474,90.71441339,92.53924506,94.21518235,95.77281905,97.23491132,98.61891166,99.93856356,101.2049474,102.4271913,103.6129689,104.7688594,105.9006137,107.0133579,108.1117525,109.200122,110.2825639,111.3630443,112.4454863,113.5338558,114.6322504,115.7449946,116.8767489,118.0326394,119.218417,120.4406608,121.7070447,123.0266966,124.4106969,125.8727892,127.4304259,129.1063632,130.9311949,132.9475835,135.2177717,137.8379999,140.9692133,144.9127942,150.3449226
17h,65.72820815,71.04616044,74.90685249,77.97225199,80.53740643,82.75987833,84.73388517,86.52036131,88.16107263,89.68596988,91.11733093,92.47224142,93.764156,95.00392217,96.20047607,97.36133021,98.49292543,99.60089179,100.6902476,101.7655553,102.8310488,103.8907393,104.9485094,106.0081998,107.0736933,108.1490011,109.2383569,110.3463232,111.4779184,112.6387726,113.8353265,115.0750927,116.3670072,117.7219177,119.1532788,120.678176,122.3188873,124.1053635,126.0793703,128.3018422,130.8669967,133.9323962,137.7930882,143.1110405
18h,61.7214947,66.76296231,70.42293384,73.32896072,75.76075069,77.86767446,79.73905107,81.43264686,82.98805626,84.43367286,85.79061628,87.07508387,88.29983076,89.47514047,90.60948456,91.70998495,92.78274761,93.83310989,94.86582916,95.88523083,96.89532842,97.89992469,98.9027005,99.90729677,100.9173944,101.936796,102.9695153,104.0198776,105.0926402,106.1931406,107.3274847,108.5027944,109.7275413,111.0120089,112.3689523,113.8145689,115.3699783,117.0635741,118.9349507,121.0418745,123.4736645,126.3796914,130.0396629,135.0811305
19h,55.69051759,62.26163196,67.03208639,70.81983958,73.98946621,76.73565802,79.17483461,81.38228936,83.40963017,85.29386563,87.0625233,88.73671505,90.33306605,91.86498,93.34349882,94.77790532,96.1761581,97.54521395,98.89127366,100.219975,101.5365494,102.8459532,104.1529842,105.462388,106.7789624,108.1076637,109.4537234,110.8227793,112.2210321,113.6554386,115.1339574,116.6658713,118.2622223,119.9364141,121.7050718,123.5893072,125.616648,127.8241028,130.2632794,133.0094712,136.1790978,139.966851,144.7373054,151.3084198
21h,75.52086373,80.87210635,84.75696629,87.84155517,90.42276745,92.65915199,94.6455161,96.44317556,98.09415772,99.62860081,101.0689222,102.4323144,103.7323163,104.9798434,106.1838877,107.3520088,108.4906878,109.60559,110.7017652,111.7838044,112.8559678,113.9222919,114.9866837,116.0530078,117.1251712,118.2072104,119.3033855,120.4182878,121.5569668,122.7250878,123.9291321,125.1766592,126.4766612,127.8400534,129.2803748,130.8148179,132.4658,134.2634595,136.2498236,138.4862081,141.0674204,144.1520093,148.0368692,153.3881118
23h,83.58654267,88.07474097,91,93.92016242,96.08507876,97.96078091,99.62678574,101.1345201,102.5192331,103.8062024,105.0142298,106.1577352,107.2480738,108.2944007,109.3042576,110.283985,111.2390187,112.1741104,113.0934952,114.001024,114.9002697,115.7946179,116.6873454,117.5816935,118.4809393,119.388468,120.3078529,121.2429445,122.1979782,123.1777056,124.1875626,125.2338895,126.3242281,127.4677335,128.6757609,129.9627302,131.3474432,132.8551775,134.5211823,136.3968845,138.5618008,141.1489096,144.4072223,148.8954206
